Dimension,Power,Time,Optimization
50,100,0.047607
50,100,0.042126
50,100,0.041971
50,100,0.041905
50,100,0.041990
50,100,0.041770
50,100,0.042455
50,100,0.042084
50,100,0.041834
50,100,0.040813
50,100,0.041680
50,100,0.041906
50,100,0.041594
50,100,0.041740
50,100,0.041636
50,100,0.041794
50,100,0.041580
50,100,0.041617
50,100,0.041913
50,100,0.041853
50,100,0.041541
50,100,0.041935
50,100,0.041863
50,100,0.041564
50,100,0.041019
50,100,0.041955
50,100,0.041721
50,100,0.041409
50,100,0.042022
50,100,0.041874
50,200,0.083263
50,200,0.083278
50,200,0.084072
50,200,0.084567
50,200,0.083408
50,200,0.082934
50,200,0.084106
50,200,0.084625
50,200,0.083187
50,200,0.083780
50,200,0.082682
50,200,0.083763
50,200,0.083453
50,200,0.084293
50,200,0.082601
50,200,0.083497
50,200,0.083410
50,200,0.083606
50,200,0.082484
50,200,0.083668
50,200,0.084344
50,200,0.082932
50,200,0.083011
50,200,0.083759
50,200,0.084888
50,200,0.083659
50,200,0.083704
50,200,0.083417
50,200,0.083714
50,200,0.084593
50,300,0.124479
50,300,0.124297
50,300,0.124025
50,300,0.124102
50,300,0.123898
50,300,0.125565
50,300,0.123685
50,300,0.125771
50,300,0.124490
50,300,0.124284
50,300,0.124048
50,300,0.123906
50,300,0.125287
50,300,0.124312
50,300,0.124655
50,300,0.124745
50,300,0.123823
50,300,0.124620
50,300,0.124262
50,300,0.124192
50,300,0.125186
50,300,0.124075
50,300,0.123078
50,300,0.122115
50,300,0.123103
50,300,0.127696
50,300,0.123006
50,300,0.123944
50,300,0.125200
50,300,0.123714
50,400,0.166227
50,400,0.164635
50,400,0.163296
50,400,0.164066
50,400,0.162612
50,400,0.162031
50,400,0.161334
50,400,0.164998
50,400,0.165841
50,400,0.165264
50,400,0.165745
50,400,0.159372
50,400,0.166350
50,400,0.166576
50,400,0.167496
50,400,0.165268
50,400,0.168216
50,400,0.163912
50,400,0.163649
50,400,0.163732
50,400,0.166168
50,400,0.164516
50,400,0.167195
50,400,0.165210
50,400,0.165623
50,400,0.166940
50,400,0.165900
50,400,0.166106
50,400,0.165721
50,400,0.163136
50,500,0.205118
50,500,0.207436
50,500,0.206330
50,500,0.207991
50,500,0.206800
50,500,0.203578
50,500,0.207936
50,500,0.205682
50,500,0.208723
50,500,0.208534
50,500,0.206204
50,500,0.206936
50,500,0.208025
50,500,0.206043
50,500,0.207508
50,500,0.206135
50,500,0.207589
50,500,0.208004
50,500,0.206525
50,500,0.206666
50,500,0.206789
50,500,0.208127
50,500,0.205926
50,500,0.203968
50,500,0.204328
50,500,0.207053
50,500,0.206175
50,500,0.206957
