Case #,I0,PA500,HFS,DA,Area,A/DA,Max IP,DR,P,Class
55,59,15,57,36,2,56,62,65,24,4
56,86,11,100,16,74,33,63,59,86,4
57,35,33,84,24,45,17,16,58,46,4
58,80,75,97,17,29,7,44,38,33,4
59,91,37,97,32,38,42,23,43,50,4
60,60,57,39,34,87,67,3,11,9,4
61,39,1,84,81,21,39,37,100,55,4
62,73,23,57,91,64,43,32,33,40,4
63,21,9,29,27,72,79,33,50,46,4
64,92,41,19,5,30,67,21,66,9,4
65,30,92,56,85,100,47,39,72,68,4
66,12,57,7,80,4,46,84,35,43,4
67,96,0,39,44,54,13,77,30,57,4
68,70,74,44,89,63,99,45,58,64,4
69,48,79,94,75,45,14,95,33,44,4
70,41,74,83,39,21,38,86,56,81,4
